Annual Production (AF),Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity,Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
8000,188119.7808,201617.2696,13751.62104,9350.653834,33895.45694,10202.53476,12865.02052,23102.27487,992.3107079,0,1.071749439
9000,211634.7534,211752.8567,15321.2274,10659.66092,38167.4589,11572.10183,14480.42508,25980.88832,992.3107079,0,1.000558052
10000,235150.7147,220636.3289,16543.1918,10261.50951,42645.64319,13495.35879,16138.64312,26804.70131,994.09651,0.017964072,0.938276242
11000,258664.6987,232007.0995,18466.26738,12556.45957,46890.78429,14793.16235,17748.4434,31022.72695,992.3107079,0,0.896941487
12000,282179.6713,242455.1676,21106.75956,14351.90811,50843.18517,15303.80151,19297.53073,35458.66767,992.3107079,0,0.85922266
13000,305900,252644.1244,20892.39118,14860.91739,55813.33333,18461.33333,21064.16667,35753.30857,995.8887513,0.035928144,0.825904297
14000,329209.6166,261869.9384,22815.84592,15514.03122,59908.27105,19443.3433,22636.46436,38329.87714,992.3107079,0,0.795450452
15000,352724.5891,271713.1493,25173.36101,17117.0647,63827.43315,19864.65329,24178.65464,42290.42571,992.3107079,0,0.770326645
16000,376239.5617,281996.3684,27690.03782,18828.32452,67790.91363,20405.06887,25730.04099,46518.36234,992.3107079,0,0.749512803
