Annual Production (AF),Number of Allowed Shutdowns,Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity Cost ($),Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
11000,0,258664.6986880993,226154.7317535146,16180.473856581364,9814.08191669976,46679.182952452335,14224.47437893199,17704.536121967445,25994.555773281125,1409.837429595528,2.4251375214641034e-13,0.8743161819163211
11000,1,258664.69868875298,223598.48417283152,15970.94114314498,8133.21392134119,46068.17335094723,14173.56744014748,17700.605790368907,24104.15506448617,1420.0413169600029,0.07185627095944831,0.8644337062858506
13000,0,305694.6438914047,246864.80341103207,20231.647555054107,12180.586336812785,55166.30533371674,16810.73934118253,20923.54231738418,32412.23389186689,1409.8374295955186,1.7277892145130723e-13,0.807553577872724
13000,1,305694.6438917991,244117.36087503063,20049.75478681379,10384.719377104084,54451.459994793666,16759.832221201454,20919.611968235924,30434.474163917876,1420.0413172922463,0.07185627328231026,0.7985660388653594
