,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.energy_intensity,pretreatment.power_consumption,pretreatment.recovery,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,2.8368286737121563e-13,356.41959432131637,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655589491642985e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656059763683896e-13,,,,126.72739726281608,1063.4999999999993,126.72739726281607,145.80463986151955,272.5320371243356,790.9679628756636,0.2499773762173625,0.0354753908817807,0.27326294038802423,1.0,42.24142701058613,0.465,90.84177851738953,42.24142701058613,48.60035150680339,0.24997737621713062,0.035475390881777695,0.27326294038802423,1.0,42.24142701054696,0.465,90.84177851730527,42.24142701054696,48.600351506758315,0.15012256403266827,0.071996055276408,0.23527052091219394,1.0,25.367860992804314,0.465,54.554539769471646,25.367860992804314,29.18667877666733,0.09987325349523721,0.04860727021604956,0.26823054050556505,1.0,16.87668224887868,0.465,36.293940320169206,16.87668224887868,19.417258071290522,0.9645246091182265,,,0.41,51.95823287775458,126.72739726281607,126.72739721226635,5.054972040344235e-08,0.03547539088177868,,,936.772602787734,7.17456914886257e-08,0.7499505699623986,356.41959432131637,0.0,-0.0,0.0,11.543539611081634
1,1,2,0.12955,2.8368284561424587e-13,356.419594379956,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655592303094436e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656060212130559e-13,,,,126.72739730457901,1063.4999999999993,126.727397304579,145.80463990956937,272.5320372141484,790.9679627858509,0.24177121255637554,0.019523116099625874,0.02772927976060645,1.0,40.854741268988896,0.465,87.85965864298687,40.854741268988896,47.004917373997976,0.24177121255614348,0.019523116099618106,0.027729279760603926,1.0,40.854741268949674,0.465,87.85965864290253,40.854741268949674,47.00491737395286,0.159570182756821,0.0938591599418342,0.08441154121768078,1.0,26.964329052430365,0.465,57.98780441382875,26.964329052430365,31.02347536139838,0.1068379623402043,0.0672402625756361,0.06027555373066759,1.0,18.053585714210065,0.465,38.824915514430245,18.053585714210065,20.77132980022018,0.9450014930185979,,,0.41,51.95823289487739,126.727397304579,126.72739725403876,5.0540230864784443e-08,0.05499850698140633,,,936.7726027459615,7.149963638775731e-08,0.7499505702095443,356.419594379956,0.0,-0.0,0.0,11.543539612980824
2,1,3,0.12955,2.8368282583180793e-13,356.4195943980525,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655594723270846e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656060785241612e-13,,,,126.72739731752372,1063.4999999999993,126.72739731752374,145.80463992446278,272.53203724198653,790.9679627580127,0.23364129633104552,0.009561643007719531,0.017691559233038452,1.0,39.4809398953164,0.465,84.90524708670195,39.4809398953164,45.424307191385545,0.23364129633081251,0.00956164300770421,0.017691559233033657,1.0,39.48093989527703,0.465,84.90524708661727,39.48093989527703,45.42430719134023,0.1677804963270887,0.09265203685791534,0.08444172328764722,1.0,28.35171604984777,0.465,60.97143236526402,28.35171604984777,32.61971631541625,0.11488748129720215,0.07034199760904995,0.06229247865205093,1.0,19.41380147708252,0.465,41.750110703403266,19.41380147708252,22.336309226320747,0.9354398500108778,,,0.41,51.958232900184726,126.72739731752374,126.72739726698292,5.054080743748245e-08,0.06456014998912661,,,936.7726027330174,7.134407061688017e-08,0.7499505702861489,356.4195943980525,0.0,-0.0,0.0,11.543539613566924
3,1,4,0.12955,2.8368282513919926e-13,356.41959440786724,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655595725514929e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656061069760724e-13,,,,126.72739732460403,1063.4999999999993,126.72739732460401,145.8046399326089,272.5320372572129,790.9679627427863,0.22851886452961193,0.00939226613480394,0.014514697936224383,1.0,38.61534624707835,0.465,83.04375537006096,38.61534624707835,44.428409122982615,0.22851886452937867,0.00939226613478753,0.014514697936218993,1.0,38.61534624703894,0.465,83.04375536997621,38.61534624703894,44.42840912293727,0.17236959254435122,0.08820548854469713,0.08361639232743441,1.0,29.12718611773701,0.465,62.639109930617224,29.12718611773701,33.51192381288021,0.12054324872470704,0.07066212622955864,0.06500635880205288,1.0,20.36951871274972,0.465,43.805416586558536,20.36951871274972,23.435897873808816,0.9260475838760733,,,0.41,51.95823290308764,126.72739732460401,126.72739727405965,5.054436249327511e-08,0.07395241612393139,,,936.7726027259407,7.11755891862775e-08,0.7499505703280488,356.41959440786724,0.0,-0.0,0.0,11.5435396138848
4,1,5,0.12955,2.836828242883406e-13,356.41959441100266,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655597015707822e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.65606129578369e-13,,,,126.72739732695757,1063.4999999999993,126.72739732695757,145.80463993531677,272.53203726227434,790.9679627377249,0.2244516427030545,0.00926090766775799,0.013328129494300931,1.0,37.92806303560486,0.465,81.56572695829,37.92806303560486,43.63766392268515,0.22445164270282106,0.009260907667740837,0.013328129494295276,1.0,37.9280630355654,0.465,81.56572695820516,37.9280630355654,43.63766392263976,0.1757250019470263,0.09081241431666205,0.08745700491398671,1.0,29.69418655401045,0.465,63.85846570754936,29.69418655401045,34.1642791535389,0.12532228298907494,0.07345858246518054,0.06867954820081174,1.0,21.17708470177687,0.465,45.54211763822983,21.17708470177687,24.36503293645296,0.916786676208315,,,0.41,51.95823290405261,126.72739732695757,126.7273972764061,5.0551487044183654e-08,0.08321332379169043,,,936.7726027235941,7.099252537547671e-08,0.7499505703419769,356.41959441100266,0.0,-0.0,0.0,11.543539613986349
5,1,6,0.12955,2.8368282349254116e-13,356.4195944131682,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655595066893046e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656061484215434e-13,,,,126.72739732868125,1063.4999999999993,126.72739732868125,145.80463993729992,272.53203726598116,790.967962734018,0.2206615448396555,0.009242345561572182,0.013032443424956236,1.0,37.28760850854982,0.465,80.18840539473081,37.28760850854982,42.90079688618098,0.22066154483942182,0.009242345561554805,0.013032443424950526,1.0,37.287608508510345,0.465,80.18840539464588,37.287608508510345,42.900796886135545,0.17852465136459014,0.09108174690509474,0.08828209748753066,1.0,30.167274112239806,0.465,64.87585830589205,30.167274112239806,34.70858419365225,0.13010282930850975,0.07547720817135055,0.07069666185191492,1.0,21.98490619938128,0.465,47.27936817071243,21.98490619938128,25.29446197133115,0.9075443306467424,,,0.41,51.958232904759306,126.72739732868125,126.72739727811498,5.056627687218988e-08,0.09245566935326426,,,936.7726027218853,7.072772103365864e-08,0.7499505703521772,356.4195944131682,0.0,-0.0,0.0,11.543539614056487
6,1,7,0.12955,2.836828231498299e-13,356.41959439576186,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.65559832743326e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656061712177105e-13,,,,126.72739731653324,1063.4999999999993,126.72739731653323,145.80463992332318,272.5320372398564,790.9679627601428,0.216559573229965,0.009617687251506222,0.013719658861182234,1.0,36.59445324397271,0.465,78.69774891176927,36.59445324397271,42.10329566779656,0.21655957322973085,0.009617687251489322,0.013719658861176754,1.0,36.594453243933145,0.465,78.69774891168417,36.594453243933145,42.103295667751034,0.18125279169567396,0.09119490861433353,0.08846676828324955,1.0,30.628277993526684,0.465,65.86726450220792,30.628277993526684,35.23898650868124,0.13557863212491753,0.07788463884296509,0.07240883602655654,1.0,22.91021283510069,0.465,49.26927491419503,22.91021283510069,26.35906207909434,0.897926643395236,,,0.41,51.958232899778615,126.72739731653323,126.72739726592116,5.061207239425461e-08,0.10207335660477508,,,936.7726027340792,7.045002170373728e-08,0.7499505702802873,356.41959439576186,0.0,-0.0,0.0,11.543539613492737
7,1,8,0.12955,2.836828289685802e-13,356.4195944001839,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655603015216751e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656062191171548e-13,,,,126.7273973216614,1063.4999999999993,126.72739732166141,145.8046399292233,272.53203725088474,790.9679627491145,0.21154756092675708,0.010848388531399125,0.015860400834593905,1.0,35.747518392964345,0.465,76.87638364078352,35.747518392964345,41.12886524781918,0.21154756092652194,0.010848388531384449,0.01586040083458935,1.0,35.7475183929246,0.465,76.87638364069807,35.7475183929246,41.12886524777346,0.18377952233073547,0.09787800753003426,0.09535127689497232,1.0,31.055247462970012,0.465,66.78547841498927,31.055247462970012,35.73023095201926,0.14307592612662046,0.0845874632252104,0.07709016922350646,1.0,24.17711307280245,0.465,51.99379155441387,24.17711307280245,27.81667848161142,0.8870782548638365,,,0.41,51.958232901881175,126.72739732166141,126.72739727089002,5.07713839843451e-08,0.11292174513618587,,,936.7726027291102,6.764130797121647e-08,0.749950570310635,356.4195944001838,0.0,-0.0,0.0,11.543539613635955
8,1,9,0.12955,2.8368283516297393e-13,356.41959440407487,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655595498726821e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656061017266808e-13,,,,126.72739732261789,1063.4999999999993,126.7273973226179,145.8046399303238,272.5320372529417,790.9679627470575,0.21395471597472662,0.02489583378536365,0.022488678737386594,1.0,36.15428186012528,0.465,77.75114378521565,36.15428186012528,41.59686192509037,0.21395471597449234,0.02489583378535629,0.02248867873738386,1.0,36.15428186008569,0.465,77.75114378513051,36.15428186008569,41.59686192504482,0.18261219932468223,0.10260909624950401,0.10377641925555682,1.0,30.85799205408413,0.465,66.36127323458952,30.85799205408413,35.50328118050538,0.13942893904239406,0.08295075640798104,0.08659774349220667,1.0,23.56084154832279,0.465,50.668476448006,23.56084154832279,27.10763489968321,0.8976578119602538,,,0.41,51.95823290227334,126.7273973226179,126.72739727201085,5.060704966296638e-08,0.10234218803975625,,,936.7726027279895,7.018368221964631e-08,0.7499505703162952,356.41959440407487,0.0,-0.0,0.0,11.543539613761975
9,1,10,0.12955,2.836828351293697e-13,356.4195944178293,,,,0.157121734,167.09896410899998,1,1063.5,1063.4999999999998,4.655599248827676e-13,1,,,0.01,10.634999999999993,1,1063.4999999999995,1063.4999999999993,4.656061629237773e-13,,,,126.7273973332425,1063.4999999999993,126.72739733324251,145.80463994254782,272.5320372757903,790.967962724209,0.209899473428,0.02895895857910217,0.03301420112582331,1.0,35.46902291933687,0.465,76.27746864373519,35.46902291933687,40.808445724398325,0.20989947342776505,0.028958958579096455,0.03301420112582162,1.0,35.46902291929716,0.465,76.27746864364981,35.46902291929716,40.808445724352644,0.18462573862020432,0.11091263997492941,0.10889910067940653,1.0,31.198241937780743,0.465,67.09299341458224,31.198241937780743,35.8947514768015,0.1455258849032005,0.09148795930830826,0.08539101344750058,1.0,24.59110955682773,0.465,52.88410657382307,24.59110955682773,28.29299701699534,0.8882219694807773,,,0.41,51.958232906629426,126.72739733324251,126.72739728252768,5.0714832738677754e-08,0.11177803051924168,,,936.7726027174726,6.895736639172926e-08,0.7499505703791699,356.4195944178293,0.0,-0.0,0.0,11.543539614207445
