,Day,Time,LMP,bypass_pretreatment_flow,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,pretreatment.uf_pumps[4].op_mode,pretreatment.uf_pumps[4].startup,pretreatment.uf_pumps[4].shutdown,pretreatment.uf_pumps[4].energy_intensity,pretreatment.uf_pumps[4].power_consumption,pretreatment.uf_pumps[4].recovery,pretreatment.uf_pumps[4].feed_flowrate,pretreatment.uf_pumps[4].product_flowrate,pretreatment.uf_pumps[4].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.12955,8.555022228504832e-14,2813.4641720304044,,,,0,1.206001745877151e-13,1,2500,2500.0,1.7035921967320558e-13,1,,,264.5200362531645,2500.0,1625.4166175041828,820.1219741622859,2445.538591666469,54.46140833353065,0.8453475261162198,0.3043351982257775,0.032568564264301055,0.16273983739835604,88.1736712062293,0.7749107902370636,699.1869881465157,541.8075415080882,157.37944663842754,0.7859877883675808,0.29132159657995027,0.04598446306578854,0.16273983739836054,88.1735551337637,0.7749097718161453,699.186986633087,541.8068282686633,157.38015836442372,0.739042637354918,0.28021123615510596,0.056814177290161014,0.16273983739839004,88.17280853917865,0.7749032160281011,699.1869815542527,541.8022406113747,157.38474094287798,0.4896130153870796,0.20784204220806624,0.11525586373208817,0.193083448379706,1.3739928178439472e-06,2.044975405153172e-08,347.9776353326136,7.116056834308253e-06,347.97762821655675,,,,2548.944135705264,1625.4166175041828,1495.383287696956,130.03332936495266,1625.4166170619085,4.422745010714232e-07,0.6632781684855996,0.23789215988968432,2.5059035328965417e-09,1.7045423462538078,637.2360351708259,0.92,406.3541547315594,373.84582235303463,32.50833237852474,0.6632781684855146,0.23789215988968432,2.505903532896542e-09,1.7045423462538078,637.2360351708259,0.92,406.3541547315594,373.84582235303463,32.50833237852474,0.6532796077157899,0.2579318202262159,2.5059035339837296e-09,1.7045423445127355,637.2360335936685,0.92,406.35415414089715,373.84582180962536,32.50833233127178,0.6438259295550295,0.25531333777836474,2.5059035351186875e-09,1.7045423424994692,637.2360317699438,0.92,406.35415345789244,373.84582118126104,32.50833227663141,0.7621078401103157,,,0,1.206001745877151e-13,1495.383287696956,1495.3832876735812,2.3374620612457053e-08,0.23789215988968432,,,950.155303992888,7.19756811943239e-08,2.6236618742419333,2813.4641720304044,0.0,-0.0,0.0,91.12107087163471
1,1,2,0.12955,8.555019276363219e-14,2813.4641720303816,,,,0,1.2060014917327995e-13,1,2500,2500.0,1.7035915431719366e-13,1,,,264.5200362531741,2500.0,1625.4166175041682,821.5418697107757,2446.9584872149435,53.04151278505651,0.8608507645765818,0.045312002169349774,0.02980876370898767,0.1627398373983688,88.17352746097387,0.7749095268710204,699.1869882065549,541.8066582255149,157.38032998104,0.7999610959874301,0.057680911963429865,0.043707604343580474,0.1627398373983718,88.17345200117072,0.7749088650196148,699.1869870118628,541.8061945418466,157.38079247001625,0.7481557548117288,0.06518065573175619,0.05606753827494543,0.16273983739838782,88.17305540761384,0.7749053836933558,699.1869832940159,541.8037575628504,157.3832257311655,0.499731356014383,0.11500828754099734,0.10488994691369391,0.19283859385991772,1.3834156679174637e-06,2.0532361845111606e-08,349.3975287025103,7.173956315241989e-06,349.3975215285539,,,,2548.9441357052315,1625.4166175041682,1495.3832876969416,130.03332936495144,1625.416617061893,4.4227524849219923e-07,0.6803150112490627,0.017036845269367162,2.505904047232174e-09,1.7045423462620433,637.2360351782834,0.92,406.35415473435165,373.8458223556035,32.50833237874813,0.6803150112489778,0.017036845269367152,2.505904056799347e-09,1.7045423462620433,637.2360351782834,0.92,406.3541547343516,373.84582235560345,32.50833237874813,0.666338887498777,0.013059282288891047,2.5059039835160802e-09,1.7045423445204566,637.2360336006602,0.92,406.35415414351485,373.84582181203365,32.50833233148118,0.6506115852259307,0.006785658176805594,2.5059044561442248e-09,1.7045423424752522,637.2360317480044,0.92,406.35415344967504,373.84582117370104,32.508332275974006,0.7450709948409485,,,0,1.2060014917327995e-13,1495.3832876969416,1495.3832876735669,2.3374620612644532e-08,0.2549290051590515,,,951.5751995413772,7.197580205366725e-08,2.677580495222748,2813.464172030381,0.0,-0.0,0.0,91.12107087163399
2,1,3,0.12955,8.55501916548487e-14,2813.464172030376,,,,0,1.206001304844217e-13,1,2500,2500.0,1.703591528235417e-13,1,,,264.5200362531736,2500.0,1625.4166175041667,820.518593780732,2445.9352112848987,54.064788715101386,0.858854090996938,0.025451260033208432,0.027447933612852263,0.16273983739836828,88.17353961311277,0.7749096336012226,699.18698826826,541.8067328976995,157.38025537056066,0.7981280200209169,0.03610387504060646,0.037936951007119676,0.16273983739837186,88.1734294486258,0.7749086667884525,699.1869870380477,541.8060559614886,157.38093107655922,0.7470490721363487,0.04478439595009429,0.045891078625474375,0.1627398373983878,88.17306581481988,0.7749054752645543,699.1869831966744,541.80382151281,157.38316168386433,0.493558794284659,0.08359424841643849,0.08976681014616252,0.19301495356332887,1.376615189406899e-06,2.047272038602694e-08,348.3742527819162,7.1321684773678494e-06,348.3742456497477,,,,2548.9441357052265,1625.4166175041667,1495.38328769694,130.03332936495124,1625.4166170618914,4.422754179858592e-07,0.6937062817891168,0.013391273045958317,2.5059043530443195e-09,1.704542346268457,637.2360351840931,0.92,406.35415473652745,373.84582235760524,32.508332378922205,0.6937062817890317,0.013391273045958317,2.5059043547750497e-09,1.7045423462684568,637.2360351840931,0.92,406.35415473652745,373.8458223576053,32.50833237892215,0.6765655308490398,0.010226645856166873,2.5059040985257026e-09,1.7045423445266639,637.2360336062833,0.92,406.3541541456207,373.8458218139711,32.50833233164965,0.6564957688706221,0.005884186150596055,2.5059045826194733e-09,1.7045423424562118,637.2360317307568,0.92,406.3541534432156,373.84582116775834,32.508332275457235,0.7316797217949903,,,0,1.206001304844217e-13,1495.38328769694,1495.3832876735653,2.3374620612814974e-08,0.2683202782050098,,,950.5519236113335,7.197582965870413e-08,2.7204738632978103,2813.464172030376,0.0,-0.0,0.0,91.1210708716338
3,1,4,0.12955,8.555019143212851e-14,2813.4641720303807,,,,0,1.2060012917887277e-13,1,2500,2500.0,1.703591517440159e-13,1,,,264.52003625317184,2500.0,1625.4166175041692,818.6592329718288,2444.075850475998,55.92414952400217,0.8504605938917688,0.01761747742330479,0.0260109745284741,0.1627398373983637,88.17361615642794,0.7749103061026072,699.1869884455656,541.8072032393127,157.3797852062528,0.789191117543984,0.025929778961987497,0.03486668143892042,0.1627398373983673,88.17353451040772,0.7749095901672485,699.1869869951936,541.8067015427184,157.38028545247514,0.7402851857787484,0.03372234784782423,0.04048623420542457,0.16273983739839298,88.17288422192861,0.7749038805601715,699.1869820981077,541.8027056649818,157.38427643312593,0.4762310335386356,0.06400958938515568,0.08133735013117901,0.19333672930215673,1.3644075554564267e-06,2.036609921218027e-08,346.5148929371311,7.05715620197537e-06,346.51488587997494,,,,2548.944135705233,1625.4166175041692,1495.3832876969427,130.03332936495144,1625.4166170618942,4.422752600368747e-07,0.7079497333492557,0.014243454066043522,2.5059045606548754e-09,1.7045423462707991,637.2360351862153,0.92,406.35415473732235,373.84582235833653,32.50833237898579,0.7079497333491707,0.014243454066043519,2.5059045659035403e-09,1.704542346270799,637.2360351862152,0.92,406.3541547373223,373.84582235833653,32.50833237898576,0.6861993247224601,0.009633796379324593,2.505904135231758e-09,1.704542344529021,637.2360336084193,0.92,406.3541541464207,373.84582181470705,32.50833233171364,0.6623886935637476,0.005892927199030185,2.5059045761547582e-09,1.7045423424491752,637.2360317243832,0.92,406.35415344082867,373.8458211655624,32.508332275266255,0.955328427618631,,,0,1.2060012917887277e-13,1495.3832876969427,1495.383287673568,2.3374620607955642e-08,0.044671572381369005,,,948.6925628024303,7.197580407931701e-08,2.764487484984634,2813.4641720303803,0.0,-0.0,0.0,91.12107087163396
4,1,5,0.12955,8.555019162082001e-14,2813.464172030385,,,,0,1.2060012901068656e-13,1,2500,2500.0,1.703591526270343e-13,1,,,264.5200362531712,2500.0,1625.416617504171,817.8915372273933,2443.308154731564,56.691845268435536,0.8478147624214727,0.022104559891472704,0.02475039136176875,0.1627398373983623,88.17363845153584,0.7749105020086422,699.1869884759161,541.8073402377822,157.37964823813388,0.7867092353554086,0.032045486922318525,0.03452736911089393,0.16273983739836637,88.17353207640744,0.77490956881717,699.1869869581718,541.8066865863328,157.380300371839,0.7389612398512869,0.040602354220035324,0.04192630014749684,0.16273983739839368,88.17286436580461,0.7749037063569402,699.1869818260429,541.8025836535265,157.38439817251637,0.4722743619446915,0.07643527738252005,0.08039194897646416,0.19347008071120747,1.359423293833274e-06,2.0322738977068673e-08,345.74719747143354,7.026529494667321e-06,345.74719044490405,,,,2548.9441357052374,1625.416617504171,1495.383287696944,130.03332936495158,1625.4166170618957,4.422751574355443e-07,0.7202853005925801,0.012335569749229069,2.505904688836239e-09,1.7045423462713254,637.2360351866924,0.92,406.35415473750106,373.84582235850104,32.50833237900005,0.7202853005924951,0.012335569749229067,2.505904694363425e-09,1.7045423462713254,637.2360351866923,0.92,406.354154737501,373.845822358501,32.50833237900005,0.6955036495325218,0.00930432731596563,2.505904156737612e-09,1.7045423445293169,637.2360336086874,0.92,406.3541541465211,373.8458218147994,32.50833233172167,0.6686032386919161,0.006214547634072906,2.5059045140076614e-09,1.7045423424478305,637.2360317231652,0.92,406.3541534403726,373.8458211651428,32.508332275229805,0.9600297031387691,,,0,1.2060012901068656e-13,1495.383287696944,1495.3832876735696,2.3374620607375993e-08,0.03997029686123091,,,947.9248670579949,7.197578743568331e-08,2.804677489409513,2813.4641720303844,0.0,-0.0,0.0,91.12107087163409
5,1,6,0.12955,8.555019165776737e-14,2813.4641720303857,,,,0,1.2060012991328912e-13,1,2500,2500.0,1.703591529532568e-13,1,,,264.52003625317104,2500.0,1625.4166175041714,818.3697975140972,2443.786415018269,56.2135849817308,0.8499524390809307,0.024365758611241597,0.02222808195178362,0.1627398373983618,88.17364804651636,0.7749105863449602,699.1869884657996,541.8073991967991,157.37958926900058,0.7877704258014849,0.03404967453384055,0.032988484087764225,0.16273983739836584,88.17354558378388,0.774909687520442,699.1869869633775,541.8067695861498,157.38021737722772,0.7389676696192435,0.041963818079322736,0.04195738831136605,0.1627398373983943,88.17284126034643,0.7749035033382984,699.1869817874605,541.802441675638,157.38454011182256,0.4746348286173114,0.07980583507996185,0.07744536840734197,0.19338697115298814,1.3625243871408513e-06,2.034970358882656e-08,346.22545780163125,7.045584889609538e-06,346.22545075604637,,,,2548.9441357052388,1625.4166175041714,1495.3832876969445,130.03332936495173,1625.4166170618964,4.4227512324426435e-07,0.7316631320860233,0.011377833999348134,2.5059047865034325e-09,1.7045423462713833,637.2360351867449,0.92,406.35415473752073,373.84582235851906,32.50833237900166,0.7316631320859386,0.011377833999348188,2.505904747723353e-09,1.7045423462713831,637.2360351867447,0.92,406.3541547375207,373.845822358519,32.50833237900166,0.7048525609158113,0.009348913889193714,2.5059041510971106e-09,1.7045423445291488,637.2360336085351,0.92,406.35415414646405,373.84582181474696,32.50833233171713,0.6754196113356817,0.006816375149670134,2.5059044172720523e-09,1.7045423424478843,637.236031723214,0.92,406.3541534403909,373.84582116515963,32.50833227523127,0.9620431421853792,,,0,1.2060012991328912e-13,1495.3832876969445,1495.3832876735698,2.3374620607083502e-08,0.03795685781462072,,,948.4031273446989,7.197578188583421e-08,2.8435984364234552,2813.4641720303853,0.0,-0.0,0.0,91.12107087163412
6,1,7,0.12955,8.555019153298035e-14,2813.4641720303857,,,,0,1.2060013289910099e-13,1,2500,2500.0,1.7035915249334285e-13,1,,,264.520036253171,2500.0,1625.4166175041717,821.6942167283504,2447.110834232522,52.88916576747809,0.8607203983341151,0.02575666878787035,0.014988709534685899,0.16273983739836623,88.1735425017711,0.7749096589510494,699.186988301682,541.8067506478675,157.38023765381462,0.7988007093475988,0.03411970020040326,0.023089416654289385,0.16273983739836945,88.17345533131586,0.7749088942210706,699.186987070875,541.8062150048536,157.3807720660215,0.7471613906121423,0.03919943426835768,0.031005713275459004,0.16273983739838616,88.1730370356511,0.7749052223071566,699.1869832262942,541.8036446712429,157.3833385550512,0.4938798161314848,0.0804669406814566,0.06122195316728319,0.19281238120863722,1.384432930387944e-06,2.0541296727560323e-08,349.54987563367047,7.180207494546889e-06,349.54986845346303,,,,2548.9441357052388,1625.4166175041717,1495.383287696945,130.0333293649516,1625.4166170618964,4.422751138526089e-07,0.7430626555023926,0.011399525922273545,2.505903670971598e-09,1.7045423462710314,637.2360351864262,0.92,406.35415473740136,373.8458223584093,32.50833237899207,0.7430626555023073,0.011399525922274124,2.5059059214196484e-09,1.7045423462710314,637.2360351864261,0.92,406.3541547374013,373.84582235840924,32.508332378992094,0.7146516800072831,0.009799121597375981,2.5059041168064897e-09,1.7045423445299048,637.23603360922,0.92,406.3541541467206,373.84582181498297,32.508332331737634,0.6832154235013982,0.0077958146716206765,2.5059042939981114e-09,1.7045423424478316,637.2360317231664,0.92,406.3541534403731,373.8458211651433,32.508332275229805,0.9648870703291492,,,0,1.2060013289910099e-13,1495.383287696945,1495.3832876735703,2.337462060661146e-08,0.035112929670850744,,,951.7275465589519,7.197578036016058e-08,2.883992414513381,2813.4641720303853,0.0,-0.0,0.0,91.12107087163412
7,1,8,0.12955,8.555019234306917e-14,2813.464172030386,,,,0,1.2060013166122785e-13,1,2500,2500.0,1.7035915467762509e-13,1,,,264.52003625317116,2500.0,1625.4166175041719,823.0241150048971,2448.440732509069,51.559267490930665,0.8681603187781672,0.02754357864270096,0.020103658198648768,0.16273983739836728,88.17351067134784,0.7749093792623392,699.1869882550346,541.806555057013,157.38043319802154,0.8050294363320081,0.037059397473636534,0.030830670489227253,0.1627398373983701,88.17343953584027,0.7749087553375822,699.186987130045,541.8061179451771,157.3808691848679,0.7507970264850944,0.04398377463999322,0.04034813876704102,0.16273983739838443,88.17308465260963,0.7749056403079146,699.1869836584833,541.8039372668374,157.38304639164596,0.5032428653487947,0.08854270228859265,0.07917965307128272,0.19258404532293333,1.3933733909256426e-06,2.0620010303633735e-08,350.8797734655061,7.235144363508353e-06,350.8797662303617,,,,2548.9441357052388,1625.4166175041719,1495.383287696945,130.0333293649517,1625.4166170618967,4.422751099937471e-07,0.7555178303032849,0.012455177306797181,2.5059047819654845e-09,1.7045423462692302,637.2360351847944,0.92,406.3541547367903,373.84582235784706,32.50833237894322,0.7555178303032,0.012455177306797221,2.505904756818085e-09,1.7045423462692302,637.2360351847944,0.92,406.3541547367903,373.84582235784706,32.50833237894319,0.7254199399542006,0.010768262452821573,2.505904054228092e-09,1.7045423445332366,637.236033612238,0.92,406.354154147851,373.8458218160229,32.50833233182807,0.6926493364801453,0.009433915484651246,2.505904146251304e-09,1.7045423424481032,637.2360317234121,0.92,406.35415344046515,373.84582116522796,32.50833227523722,0.9647674627715811,,,0,1.2060013166122785e-13,1495.383287696945,1495.3832876735703,2.3374620606631567e-08,0.03523253722841886,,,953.0574448354988,7.19757797310515e-08,2.929104937040831,2813.4641720303857,0.0,-0.0,0.0,91.12107087163413
8,1,9,0.12955,8.555019354389396e-14,2813.4641720303857,,,,0,1.2060008541966081e-13,1,2500,2500.0,1.7035915791188099e-13,1,,,264.5200362531712,2500.0,1625.4166175041719,823.0143469129462,2448.4309644171176,51.56903558288234,0.8696773365102891,0.031093356075926767,0.02957633834380498,0.16273983739836717,88.17351875608557,0.7749094502946393,699.1869882731662,541.8066047359234,157.38038353724275,0.8055089138489011,0.04385999222698775,0.043380514710094666,0.16273983739837009,88.17344137620587,0.7749087714946536,699.1869871453013,541.8061292538134,157.38085789148784,0.7506172387497801,0.05407397544420963,0.054253763179523865,0.1627398373983848,88.17307472757237,0.7749055531090273,699.1869836342037,541.803876279696,157.3831073545076,0.5031399310220975,0.10500093819718442,0.10510387252388162,0.19258571927804852,1.3933073892600852e-06,2.061942840470128e-08,350.87000536444674,7.234738742333748e-06,350.869998129708,,,,2548.9441357052388,1625.4166175041719,1495.383287696945,130.0333293649517,1625.4166170618967,4.422751176422268e-07,0.7654412491075511,0.009923421310170866,2.5059046702963438e-09,1.7045423462649063,637.2360351808776,0.92,406.3541547353234,373.84582235649754,32.50833237882585,0.7654412491074661,0.009923421310170861,2.5059046792896876e-09,1.7045423462649063,637.2360351808776,0.92,406.3541547353234,373.84582235649754,32.50833237882586,0.7380016749317571,0.012581737483460387,2.5059039918178307e-09,1.7045423445394554,637.236033617871,0.92,406.3541541499608,373.8458218179639,32.50833233199687,0.7052160453126529,0.012566711338411618,2.5059039972309126e-09,1.704542342450532,637.2360317256123,0.92,406.3541534412891,373.84582116598597,32.5083322753031,0.9662218754607583,,,0,1.2060008541966081e-13,1495.383287696945,1495.3832876735703,2.337462060636308e-08,0.03377812453924159,,,953.0476767435479,7.197578096912518e-08,2.974100218459427,2813.4641720303857,0.0,-0.0,0.0,91.12107087163412
9,1,10,0.12955,8.555018779419553e-14,2813.4641720303853,,,,0,1.2060004230536159e-13,1,2500,2500.0,1.7035914701431882e-13,1,,,264.52003625316894,2500.0,1625.4166175041728,819.3150877064693,2444.7317052106428,55.26829478935717,0.8554886386647282,0.04045821944335585,0.05464691728891668,0.1627398373983638,88.17360229379493,0.7749101842566837,699.1869884588526,541.8071180565247,157.37987040232784,0.7925251976279694,0.05997657997499256,0.07296029619592435,0.16273983739836745,88.1735087227935,0.7749093634483611,699.1869870723099,541.8065430835809,157.38044398872907,0.742075106418051,0.07649971767054932,0.08504185000227857,0.16273983739839057,88.1729238679063,0.7749042285832203,699.1869824626855,541.8029492806794,157.384033182006,0.4795293805854816,0.1342801518887562,0.15789070232537208,0.19322303476383706,1.368674238906928e-06,2.0403193884709584e-08,347.17074721679467,7.083388182584939e-06,347.17074013340647,,,,2548.9441357052406,1625.4166175041728,1495.3832876969457,130.03332936495178,1625.4166170618976,4.4227511971778095e-07,0.7754669202915425,0.01002567368989588,2.505904420098364e-09,1.7045423462601155,637.2360351765377,0.92,406.3541547336981,373.84582235500227,32.508332378695854,0.7754669202914576,0.010025673689895867,2.505904436581823e-09,1.7045423462601155,637.2360351765377,0.92,406.3541547336981,373.84582235500227,32.50833237869585,0.7559226877065168,0.01792101528066357,2.505903865207258e-09,1.7045423445449295,637.2360336228296,0.92,406.3541541518179,373.8458218196725,32.5083323321454,0.7263426016801882,0.02112655887343906,2.505903813565074e-09,1.7045423424546415,637.2360317293352,0.92,406.35415344268336,373.8458211672687,32.50833227541468,0.9675957276931361,,,0,1.2060004230536159e-13,1495.3832876969457,1495.3832876735712,2.337462060609065e-08,0.03240427230686393,,,949.3484175370711,7.197578131483285e-08,3.033199129969705,2813.4641720303853,0.0,-0.0,0.0,91.1210708716341
