Total Optimal Cost ($) ,,,,,,,Solve Time (s) (# nodes = 2),,,,
,Water Taget (AF/yr),,,,,,,Water Taget (AF/yr),,,
Mip Gap,6000 AF,10500 AF,15000 AF,,,,Mip Gap,6000,10500,15000,
3.0%,61543.9,105120.8,150170.4,,,,3.0%,478,35,6,
2.0%,61543.9,103509,150170.4,,,,2.0%,563,586,271,
1.0%,61410.5,102650,147469,,,,1.0%,647,725,326,
0.50%,61410.5,102638.4,147469,,,,0.5%,647,1525,326,
