Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
316.5,-0.0269165
317.5,-0.0269165
318.5,-0.0269165
319.5,-0.0269165
320.5,78.289
321.5,151.904
322.5,200.282
323.5,229.672
324.5,240.602
325.5,232.951
326.5,208.018
327.5,165.078
328.5,102.823
329.5,15.43
330.5,-0.0269165
331.5,-0.0269165
332.5,-0.0269165
333.5,-0.0269165
334.5,-0.0269165
335.5,-0.0269165
336.5,-0.0269165
337.5,-0.0269165
338.5,-0.0269165
339.5,-0.0269165
340.5,-0.0269165
341.5,-0.0269165
342.5,-0.0269165
343.5,-0.0269165
344.5,80.1292
345.5,150.998
346.5,198.663
347.5,228.016
348.5,238.416
349.5,231.264
350.5,205.702
351.5,163.618
352.5,99.6276
353.5,13.5339
354.5,-0.0269165
355.5,-0.0269165
356.5,-0.0269165
357.5,-0.0269165
358.5,-0.0269165
359.5,-0.0269165
360.5,-0.0269165
361.5,-0.0269165
362.5,-0.0269165
363.5,-0.0269165
364.5,-0.0269165
365.5,-0.0269165
366.5,-0.0269165
367.5,-0.0269165
368.5,11.6775
369.5,11.186
370.5,71.5992
371.5,120.012
372.5,161.096
373.5,144.294
374.5,100.949
375.5,107.43
376.5,23.3335
377.5,13.0196
378.5,-0.0269165
379.5,-0.0269165
380.5,-0.0269165
381.5,-0.0269165
382.5,-0.0269165
383.5,-0.0269165
384.5,-0.0269165
385.5,-0.0269165
386.5,-0.0269165
387.5,-0.0269165
388.5,-0.0269165
389.5,-0.0269165
390.5,-0.0269165
391.5,-0.0269165
392.5,8.85297
393.5,20.9917
394.5,35.8145
395.5,53.5027
396.5,132.109
397.5,105.767
398.5,109.429
399.5,147.931
400.5,88.921
401.5,13.5197
402.5,-0.0269165
403.5,-0.0269165
404.5,-0.0269165
405.5,-0.0269165
406.5,-0.0269165
407.5,-0.0269165
408.5,-0.0269165
409.5,-0.0269165
410.5,-0.0269165
411.5,-0.0269165
412.5,-0.0269165
413.5,-0.0269165
414.5,-0.0269165
415.5,-0.0269165
416.5,-0.0269165
417.5,28.2867
418.5,33.8909
419.5,70.417
420.5,60.7302
421.5,53.9383
422.5,64.3152
423.5,32.6461
424.5,13.1932
425.5,12.6025
426.5,-0.0269165
427.5,-0.0269165
428.5,-0.0269165
429.5,-0.0269165
430.5,-0.0269165
431.5,-0.0269165
432.5,-0.0269165
433.5,-0.0269165
434.5,-0.0269165
435.5,-0.0269165
436.5,-0.0269165
437.5,-0.0269165
438.5,-0.0269165
439.5,-0.0269165
440.5,71.4007
441.5,146.774
442.5,196.92
443.5,229.964
444.5,243.203
445.5,239.046
446.5,215.277
447.5,173.04
448.5,110.642
449.5,23.4391
450.5,-0.0269165
451.5,-0.0269165
452.5,-0.0269165
453.5,-0.0269165
454.5,-0.0269165
455.5,-0.0269165
456.5,-0.0269165
457.5,-0.0269165
458.5,-0.0269165
459.5,-0.0269165
460.5,-0.0269165
461.5,-0.0269165
462.5,-0.0269165
463.5,-0.0269165
464.5,31.9424
465.5,24.366
466.5,39.1579
467.5,37.7312
468.5,117.936
469.5,166.459
470.5,201.422
471.5,135.919
472.5,97.9832
473.5,19.7466
474.5,-0.0269165
475.5,-0.0269165
476.5,-0.0269165
477.5,-0.0269165
478.5,-0.0269165
479.5,-0.0269165
480.5,-0.0269165
481.5,-0.0269165
482.5,-0.0269165
483.5,-0.0269165
484.5,-0.0269165
485.5,-0.0269165
486.5,-0.0269165
487.5,-0.0269165
488.5,31.2666
489.5,150.926
490.5,144.105
491.5,222.371
492.5,191.809
493.5,199.885
494.5,150.772
495.5,115.53
496.5,101.824
497.5,23.0811
498.5,-0.0269165
499.5,-0.0269165
500.5,-0.0269165
501.5,-0.0269165
502.5,-0.0269165
503.5,-0.0269165
504.5,-0.0269165
505.5,-0.0269165
506.5,-0.0269165
507.5,-0.0269165
508.5,-0.0269165
509.5,-0.0269165
510.5,-0.0269165
511.5,-0.0269165
512.5,-0.0269165
513.5,22.4053
514.5,49.0588
515.5,24.9951
516.5,36.1241
517.5,21.7132
518.5,51.2252
519.5,87.2781
520.5,8.84657
521.5,19.0746
522.5,-0.0269165
523.5,-0.0269165
524.5,-0.0269165
525.5,-0.0269165
526.5,-0.0269165
527.5,-0.0269165
528.5,-0.0269165
529.5,-0.0269165
530.5,-0.0269165
531.5,-0.0269165
532.5,-0.0269165
533.5,-0.0269165
534.5,-0.0269165
535.5,-0.0269165
536.5,5.89539
537.5,35.8925
538.5,32.6437
539.5,49.6654
540.5,35.9016
541.5,30.736
542.5,53.9306
543.5,99.1865
544.5,84.4912
545.5,10.7573
546.5,-0.0269165
547.5,-0.0269165
548.5,-0.0269165
549.5,-0.0269165
550.5,-0.0269165
551.5,-0.0269165
552.5,-0.0269165
553.5,-0.0269165
554.5,-0.0269165
555.5,-0.0269165
556.5,-0.0269165
557.5,-0.0269165
558.5,-0.0269165
559.5,-0.0269165
560.5,5.29087
561.5,19.3577
562.5,82.8431
563.5,31.6557
564.5,39.2444
565.5,14.4161
566.5,76.6414
567.5,103.452
568.5,47.459
569.5,22.6517
570.5,-0.0269165
571.5,-0.0269165
572.5,-0.0269165
573.5,-0.0269165
574.5,-0.0269165
575.5,-0.0269165
576.5,-0.0269165
577.5,-0.0269165
578.5,-0.0269165
579.5,-0.0269165
580.5,-0.0269165
581.5,-0.0269165
582.5,-0.0269165
583.5,-0.0269165
584.5,81.6415
585.5,154.691
586.5,204.029
587.5,234.414
588.5,244.53
589.5,239.564
590.5,214.471
591.5,173.048
592.5,113.11
593.5,31.1729
594.5,-0.0269165
595.5,-0.0269165
596.5,-0.0269165
597.5,-0.0269165
598.5,-0.0269165
599.5,-0.0269165
600.5,-0.0269165
601.5,-0.0269165
602.5,-0.0269165
603.5,-0.0269165
604.5,-0.0269165
605.5,-0.0269165
606.5,-0.0269165
607.5,-0.0269165
608.5,78.2395
609.5,146.276
610.5,117.642
611.5,100.089
612.5,177.731
613.5,178.684
614.5,173.01
615.5,152.125
616.5,48.5762
617.5,16.6148
618.5,-0.0269165
619.5,-0.0269165
620.5,-0.0269165
621.5,-0.0269165
622.5,-0.0269165
623.5,-0.0269165
624.5,-0.0269165
625.5,-0.0269165
626.5,-0.0269165
627.5,-0.0269165
628.5,-0.0269165
629.5,-0.0269165
630.5,-0.0269165
