Hours since 00:00 Jan 1,Raw kW solar,PV_prod,Raw kW wind,wind_prod
6992.5,57.6738,0.192246,28.1883,0.093961
6993.5,84.8081,0.282693667,45.0379,0.150126333
6994.5,184.861,0.616203333,34.128,0.11376
6995.5,213.01,0.710033333,48.0188,0.160062667
6996.5,217.707,0.72569,46.7703,0.155901
6997.5,204.77,0.682566667,59.3571,0.197857
6998.5,176.808,0.58936,40.357,0.134523333
6999.5,133.611,0.44537,33.7092,0.112364
7000.5,52.6683,0.175561,65.1928,0.217309333
7001.5,8.57338,0.028577933,48.0349,0.160116333
7002.5,-0.0269165,0,18.3683,0.061227667
7003.5,-0.0269165,0,46.1849,0.153949667
7004.5,-0.0269165,0,61.2809,0.204269667
7005.5,-0.0269165,0,81.0461,0.270153667
7006.5,-0.0269165,0,68.9201,0.229733667
7007.5,-0.0269165,0,47.872,0.159573333
7008.5,-0.0269165,0,85.8325,0.286108333
7009.5,-0.0269165,0,41.1077,0.137025667
7010.5,-0.0269165,0,44.0111,0.146703667
7011.5,-0.0269165,0,30.0792,0.100264
7012.5,-0.0269165,0,17.4866,0.058288667
7013.5,-0.0269165,0,15.2223,0.050741
7014.5,-0.0269165,0,13.3463,0.044487667
7015.5,39.9542,0.133180667,17.1954,0.057318
7016.5,82.9924,0.276641333,17.6325,0.058775
7017.5,131.66,0.438866667,16.6855,0.055618333
7018.5,187.616,0.625386667,14.0881,0.046960333
7019.5,216.587,0.721956667,5.86488,0.0195496
7020.5,219.948,0.73316,9.94894,0.033163133
7021.5,207.993,0.69331,22.175,0.073916667
7022.5,181.192,0.603973333,22.7037,0.075679
7023.5,109.899,0.36633,25.9029,0.086343
7024.5,45.1816,0.150605333,17.645,0.058816667
7025.5,4.60082,0.015336067,34.4595,0.114865
7026.5,-0.0269165,0,33.7762,0.112587333
7027.5,-0.0269165,0,35.4806,0.118268667
7028.5,-0.0269165,0,53.3118,0.177706
7029.5,-0.0269165,0,30.0593,0.100197667
7030.5,-0.0269165,0,35.3971,0.117990333
7031.5,-0.0269165,0,37.314,0.12438
7032.5,-0.0269165,0,59.0716,0.196905333
