Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
382.5,36.7206
383.5,250.334
384.5,239.585
385.5,250.334
386.5,250.334
387.5,205.939
388.5,136.781
389.5,234.083
390.5,247.582
391.5,238.083
392.5,241.515
393.5,238.317
394.5,220.117
395.5,180.597
396.5,136.477
397.5,77.0052
398.5,57.9987
399.5,29.9232
400.5,18.4901
401.5,10.8272
402.5,19.3906
403.5,15.2314
404.5,37.2536
405.5,59.1295
406.5,70.4468
407.5,74.1928
408.5,73.895
409.5,87.9061
410.5,84.6094
411.5,98.3375
412.5,81.5143
413.5,66.4903
414.5,70.7915
415.5,85.1228
416.5,73.5797
417.5,30.4611
418.5,40.2877
419.5,75.7425
420.5,90.4934
421.5,107.216
422.5,84.0736
423.5,38.4722
424.5,47.1229
425.5,52.7203
426.5,17.2405
427.5,31.5648
428.5,30.6391
429.5,30.6408
430.5,32.9353
431.5,33.3002
432.5,24.0477
433.5,20.675
434.5,39.2123
435.5,136.54
436.5,241.441
437.5,215.857
438.5,113.142
439.5,128.465
440.5,66.5261
441.5,29.0858
442.5,33.8305
443.5,15.3065
444.5,11.6392
445.5,1.50896
446.5,0
447.5,0
448.5,0
449.5,14.7596
450.5,31.3233
451.5,81.1985
452.5,111.131
453.5,133.314
454.5,142.562
455.5,188.171
456.5,208.881
457.5,210.456
458.5,200.667
459.5,212.554
460.5,222.343
461.5,195.772
462.5,212.554
463.5,165.682
464.5,167.326
465.5,225.806
466.5,240.974
467.5,239.424
468.5,200.406
469.5,191.955
470.5,187.324
471.5,148.179
472.5,175.073
473.5,78.3312
474.5,87.3243
475.5,88.1208
476.5,84.2626
477.5,250.334
478.5,250.334
479.5,250.334
480.5,250.334
481.5,250.334
482.5,250.334
483.5,250.334
484.5,250.334
485.5,250.334
486.5,250.334
487.5,250.334
488.5,250.334
489.5,243.848
490.5,250.334
491.5,248.078
492.5,164.339
493.5,159.629
494.5,105.352
495.5,60.548
496.5,32.2337
497.5,8.64941
498.5,4.73432
499.5,1.89189
500.5,3.81339
501.5,7.10046
502.5,20.8901
503.5,29.6057
504.5,43.9802
505.5,42.506
506.5,53.7097
507.5,75.984
508.5,104.787
509.5,119.543
510.5,134.326
511.5,151.3
512.5,165.537
513.5,113.641
514.5,139.784
515.5,140.647
516.5,113.825
517.5,114.941
518.5,109.223
519.5,109.846
520.5,127.74
521.5,112.75
522.5,227.49
523.5,158.874
524.5,238.83
525.5,248.346
526.5,240.2
527.5,166.593
528.5,131.335
529.5,96.917
530.5,62.6382
531.5,45.3121
532.5,50.095
533.5,61.1531
534.5,71.7064
535.5,142.314
536.5,239.008
537.5,250.334
538.5,250.334
539.5,250.334
540.5,250.334
541.5,250.334
542.5,250.334
543.5,250.334
544.5,250.334
545.5,250.334
546.5,250.334
547.5,250.334
548.5,250.334
549.5,250.334
550.5,250.334
551.5,250.334
552.5,250.334
553.5,250.334
554.5,250.334
555.5,250.334
556.5,250.334
557.5,244.06
558.5,222.097
559.5,199.082
560.5,165.101
561.5,136.526
562.5,81.6815
563.5,62.4692
564.5,26.6657
565.5,14.7768
566.5,4.30791
567.5,0
568.5,0
569.5,0
570.5,0
571.5,7.16093
572.5,12.6204
573.5,34.1215
574.5,37.6758
575.5,81.3301
576.5,67.0773
577.5,97.7213
578.5,122.21
579.5,145.271
580.5,142.165
581.5,206.408
582.5,200.68
583.5,195.222
584.5,208.517
585.5,128.211
586.5,65.0307
587.5,28.262
588.5,18.3442
589.5,16.7379
590.5,7.30789
591.5,3.56745
592.5,6.37268
593.5,23.3549
594.5,94.0449
595.5,100.578
596.5,101.913
597.5,109.425
598.5,91.1703
599.5,116.734
600.5,105.589
601.5,91.8103
602.5,85.8386
603.5,92.5427
604.5,108.933
605.5,120.895
606.5,110.359
607.5,122.532
608.5,163.454
609.5,155.199
610.5,177.845
611.5,184.832
612.5,165.8
613.5,182.674
614.5,169.242
615.5,197.053
616.5,238.906
617.5,223.94
618.5,249.572
619.5,250.334
620.5,250.334
621.5,250.334
622.5,238.806
623.5,118.376
624.5,115.405
625.5,54.5901
626.5,61.0694
627.5,33.6216
628.5,241.346
629.5,250.334
630.5,250.334
631.5,250.334
632.5,250.334
633.5,250.334
634.5,250.334
635.5,250.334
636.5,250.334
637.5,250.334
638.5,250.334
639.5,250.334
640.5,250.334
641.5,250.334
642.5,250.334
643.5,250.334
644.5,250.334
645.5,250.334
646.5,250.334
647.5,250.334
648.5,250.334
649.5,250.334
650.5,250.334
651.5,250.334
652.5,250.334
653.5,250.334
654.5,250.334
655.5,250.334
656.5,241.934
657.5,237.546
658.5,250.334
659.5,250.334
660.5,250.334
661.5,250.334
662.5,250.334
663.5,250.334
664.5,250.334
665.5,250.334
666.5,250.334
667.5,239.976
668.5,250.334
669.5,209.508
670.5,221.907
671.5,133.11
672.5,145.575
673.5,129.592
674.5,85.851
675.5,38.6511
676.5,37.6735
677.5,37.0948
678.5,34.8808
679.5,31.2971
680.5,21.8331
681.5,7.50894
682.5,5.38259
683.5,2.81269
684.5,0
685.5,0
686.5,8.57846
687.5,16.7254
688.5,22.812
689.5,34.9706
690.5,81.5875
691.5,110.362
692.5,135.626
693.5,242.655
694.5,244.867
695.5,241.193
696.5,243.572
697.5,245.597
698.5,239.927
699.5,231.212
700.5,186.122
701.5,173.343
702.5,164.294
703.5,144.101
704.5,153.739
705.5,141.527
706.5,163.581
707.5,234.381
708.5,246.658
709.5,250.334
710.5,250.334
711.5,250.334
712.5,250.334
713.5,250.334
714.5,250.334
715.5,250.334
716.5,250.334
717.5,250.334
718.5,250.334
719.5,250.334
720.5,250.334
721.5,250.334
722.5,250.334
723.5,250.334
724.5,250.334
725.5,250.334
726.5,250.334
727.5,248.471
728.5,250.334
729.5,250.334
730.5,250.334
731.5,240.682
732.5,201.873
733.5,184.807
734.5,193.643
735.5,172.232
736.5,237.394
737.5,240.479
738.5,250.334
739.5,250.334
740.5,250.334
741.5,250.334
742.5,250.334
743.5,250.334
744.5,250.334
745.5,250.334
746.5,250.334
747.5,250.334
748.5,250.334
749.5,250.334
750.5,250.334
751.5,250.334
752.5,250.334
753.5,250.334
754.5,250.334
755.5,245.077
756.5,113.302
757.5,55.5412
758.5,25.2093
759.5,7.06467
760.5,1.3637
761.5,0
762.5,4.32122
763.5,35.2353
764.5,24.1506
765.5,32.6035
766.5,45.9832
767.5,37.9719
768.5,31.7908
769.5,33.3761
770.5,157.795
771.5,232.14
772.5,250.334
773.5,250.334
774.5,250.334
775.5,250.334
776.5,250.334
777.5,250.334
778.5,250.334
779.5,250.334
780.5,250.334
781.5,250.334
782.5,250.334
783.5,250.334
784.5,250.334
785.5,250.334
786.5,250.334
787.5,250.334
788.5,250.334
789.5,250.334
790.5,250.334
791.5,250.334
792.5,250.334
793.5,250.334
794.5,250.334
795.5,250.334
796.5,244.671
797.5,237.777
798.5,176.087
799.5,157.292
800.5,83.3185
801.5,52.8737
802.5,47.0641
803.5,54.0726
804.5,32.9504
805.5,34.4348
806.5,26.19
807.5,28.1157
808.5,27.9079
809.5,36.8097
810.5,18.2204
811.5,23.8559
812.5,21.346
813.5,19.2444
814.5,13.3728
815.5,16.8693
816.5,7.45763
817.5,12.852
818.5,7.46165
819.5,0
820.5,1.42288
821.5,17.8413
822.5,44.6708
823.5,44.0785
824.5,36.3906
825.5,48.8173
826.5,32.3681
827.5,13.8177
828.5,1.96425
829.5,3.5349
830.5,0
831.5,5.70473
832.5,0
833.5,25.7331
834.5,28.2009
835.5,31.0018
836.5,65.3369
837.5,59.587
838.5,43.4585
839.5,8.64638
840.5,1.40271
841.5,42.4947
842.5,138.199
843.5,81.5336
844.5,249.765
845.5,240.143
846.5,250.334
847.5,250.334
848.5,250.334
