month,tech,total_cost,pv_capacity_kw,wind_capacity_kw,battery_capacity_kwh,total_plant_production_capacity_m3_per_h,total_plant_production_capacity_m3_per_day
June,RO,1710.788412185715,1.8353957348336196,2.4502677481462207,3.539873230678268,5.681818181818182,136.36363636363637
June,UF+GAC,1289.6954999653915,0.6246279819525848,0.9527725389177721,1.4674671040951752,5.434782608695652,130.43478260869568
June,UF+IX,853.5989466908536,0.9867748672001593,1.3173468272690514,1.9031555930557766,5.681818762282404,136.36365029477773
October,RO,2770.503752405142,3.7359276382688043,3.6867381542782764,6.063361605544653,7.8125,187.50000000000003
October,UF+GAC,2385.197117258718,1.4338047492211219,1.896425570545951,3.1839284958916645,7.352941176470588,176.47058823529414
October,UF+IX,1537.2420928262416,2.2990323927808025,2.268761941094324,3.731299449565941,7.8125,187.50000000000003
