time_index,train_1_on,train_2_on,train_3_on,train_4_on,train_1_flow_pct,train_2_flow_pct,train_3_flow_pct,train_4_flow_pct,on-peak
291,1,1,1,1,97.29731259,98.41756479,97.32393187,97.4299037,
292,1,1,1,1,97.3127331,98.49710323,97.3815059,97.21742682,
293,1,1,1,1,97.24479807,98.29420661,97.48682534,97.36906577,
294,1,1,1,1,97.28283551,98.21214166,97.34406485,97.27588123,
295,1,1,1,1,97.39602548,98.12827479,97.16563647,97.32597568,
296,1,1,1,1,97.41703826,98.0506456,97.36511322,97.3032308,
297,1,1,1,1,97.36563816,97.3316599,97.46464898,97.33566942,
298,1,1,1,1,97.35792387,97.35362361,97.65175655,100,
299,1,1,1,1,97.36659574,97.37592801,97.26413614,100,
300,1,1,1,1,97.34574606,97.36372226,97.3683626,99.08500178,
301,1,1,1,1,97.4385266,97.24647291,97.38389011,97.84943006,
302,1,1,1,1,97.30653066,97.26947984,97.25499558,97.97838153,
303,1,1,1,1,97.23659443,97.31433697,97.52095961,97.91779127,
304,1,1,1,1,97.37812798,97.33314968,97.2045679,98.04856625,
305,1,1,1,1,97.54097201,97.35538308,97.35040867,98.09727696,
306,1,1,1,1,97.35830058,97.35257319,97.09161935,98.15797348,
307,1,1,1,1,97.31381217,97.36010274,97.40135501,98.01101145,
308,1,1,1,1,97.2748166,97.38448656,97.25700445,98.09849022,
309,1,1,1,1,97.37515432,97.31344983,97.2604176,97.99986998,
310,1,1,1,1,97.37917124,97.38313792,97.38143478,98.14237573,
311,1,1,1,1,97.33168069,97.36276348,97.55405816,98.09206093,
312,1,1,1,1,97.37676529,97.37023642,97.46215101,98.03491241,
313,1,1,1,1,97.47067417,97.41240411,97.46020645,98.05645028,
314,1,1,1,1,97.46132802,97.27497231,97.246764,98.11096619,
315,1,1,1,1,97.34596675,97.35237427,97.33152457,98.17558707,
316,1,1,1,1,97.18686882,97.30258529,97.49771162,98.21325582,
317,1,1,1,1,97.24726053,97.32784207,97.29773871,98.17647404,
318,1,1,1,1,97.29961871,97.35554672,97.24469186,98.14559742,
319,1,1,1,1,97.28518472,97.32689109,97.0667958,98.0793722,
320,1,1,1,1,97.40799,97.29646793,97.3605143,98.19102939,
321,1,1,1,1,97.29211788,97.33867793,97.52125068,98.16449531,
322,1,1,1,1,97.25532195,97.31678539,97.33286613,98.09406878,
323,1,1,1,1,97.52214522,97.43116034,97.38371285,98.16640452,
324,1,1,1,1,97.31480534,97.31035616,97.24319427,98.13264615,
325,1,1,1,1,97.49108356,97.28507789,97.2361331,98.18391851,
326,1,1,1,1,97.22208215,97.31281869,97.38160539,98.15672479,
327,1,1,1,1,97.19303941,97.31890404,97.42775023,98.13621087,
328,0,1,1,1,0,97.66013869,97.22960838,97.38562461,
329,0,1,1,1,0,97.9219143,97.43135896,97.33076597,
330,0,1,1,1,0,97.6226391,97.64456893,97.43950643,
331,1,1,1,1,97.35651787,98.33006488,97.24543518,97.4809103,
332,1,1,1,1,97.34065421,98.22191148,97.50333962,97.36026483,
333,1,1,1,1,97.66450388,98.32036808,97.31445001,97.3688577,
334,1,1,1,1,97.36026017,98.25948185,97.30599224,97.32179399,
