,Day,Time,LMP,bypass_pretreatment_flow,excess_solar_power,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,power_generation.op_mode,power_generation.startup,power_generation.shutdown,power_generation.power_utilized,power_generation.power_curtailed,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.1016,0.0,0.0,1433.078053122288,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.6586140139609,2408.000103131699,2408.000008299513,9.483218605055299e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232574,0.999999960618383,802.7043695706197,802.7043379588238,3.1611795975550194e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047258,0.9999999606178661,802.6667035751495,802.666671964422,3.1610727546649287e-05,1.0,0.0,0.0,0.15849415503117228,127.2120049011626,0.9999999606173445,802.6290299859296,802.6289983762671,3.160966252835351e-05,,,,854.7808431707786,2408.000008299513,2227.39951799553,180.60048200447,2408.0,8.299512842313561e-06,1.0,0,0,0.38375730813662406,213.69521079269464,0.9249997998320308,602,556.8498794988825,45.1501205011175,1.0,0,0,0.38375730813662406,213.69521079269464,0.9249997998320308,602,556.8498794988825,45.1501205011175,1.0,0,0,0.38375730813662406,213.69521079269464,0.9249997998320308,602,556.8498794988825,45.1501205011175,1.0,0,0,0.38375730813662406,213.69521079269464,0.9249997998320308,602,556.8498794988825,45.1501205011175,1.0,,,0.101,224.96735131754855,2227.39951799553,2227.39951799553,0.0,69.04938505786143,0.0,,,180.6005851361689,0.0,77.65825160855262,,,,28.32875538,0.0,4.0,1433.0780531222879,0.0,-0.0,0.0,145.60073019722446
1,1,2,0.1016,0.0,0.0,1433.9709849355413,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.6586140139508,2408.000103131699,2408.000008299449,9.483224982886895e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.2270708323224,0.9999999606183569,802.7043695706197,802.7043379588027,3.161181700761517e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828046921,0.9999999606178397,802.6667035751495,802.6666719644007,3.161074880608794e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490115919,0.9999999606173178,802.6290299859296,802.6289983762456,3.160968401516584e-05,,,,854.7808431820148,2408.000008299449,2227.399518015602,180.6004819843979,2408.0,8.299448950310762e-06,1.0,0,0,0.38375730813820397,213.69521079550012,0.9249997998403665,602,556.8498795039005,45.150120496099476,1.0,0,0,0.38375730813822984,213.6952107955145,0.9249997998403665,602,556.8498795039005,45.150120496099476,1.0,0,0,0.38375730813820397,213.69521079550012,0.9249997998403665,602,556.8498795039005,45.150120496099476,1.0,0,0,0.38375730813820397,213.69521079550012,0.9249997998403665,602,556.8498795039005,45.150120496099476,1.0,,,0.101,224.96735131957584,2227.399518015602,2227.399518015602,0.0,69.04938505848367,0.0,,,180.60058511609668,0.0,77.65825159992157,,,,27.43582358,0.0,4.0,1433.9709849355413,0.0,-0.0,0.0,145.691452069451
2,1,3,0.1016,0.0,0.0,1434.8205403283198,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861401369807,2408.000103131699,2408.0000082978545,9.483384451414167e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083224114,0.9999999606177181,802.7043695706197,802.70433795829,3.16123297352533e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828038495,0.9999999606171774,802.6667035751495,802.6666719638691,3.161128040574113e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490107196,0.9999999606166321,802.6290299859296,802.6289983756952,3.161023437314725e-05,,,,854.7808431337684,2408.0000082978545,2227.399517929241,180.60048207075874,2408.0,8.297854492411716e-06,1.0,0,0,0.38375730813142905,213.6952107834351,0.9249997998044723,602,556.8498794822921,45.15012051770793,1.0,0,0,0.38375730813142905,213.69521078344442,0.9249997998045124,602,556.8498794823164,45.150120517683604,1.0,0,0,0.38375730813142905,213.69521078344442,0.9249997998045124,602,556.8498794823164,45.150120517683604,1.0,0,0,0.38375730813142905,213.69521078344442,0.9249997998045124,602,556.8498794823164,45.150120517683604,1.0,,,0.101,224.96735131085336,2227.399517929241,2227.399517929241,0.0,69.04938505580647,0.0,,,180.60058520245778,0.0,77.65825163705684,,,,26.58626813,0.0,4.0,1434.8205403283196,0.0,-0.0,0.0,145.77776689735728
3,1,4,0.1016,0.0,0.0,1435.0048531165912,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861377518416,2408.000103131699,2408.0000067929977,9.633870092784491e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707075272709,0.9999999599927408,802.7043695706197,802.704337456618,3.211400178315671e-05,1.0,0.0,0.0,0.15849610146278947,127.21953820088032,0.999999959992237,802.6667035751495,802.6666714622503,3.2112899248204485e-05,1.0,0.0,0.0,0.15849415503117228,127.21200482157677,0.9999999599917289,802.6290299859296,802.6289978741297,3.211179989648372e-05,,,,853.1945937428811,2408.0000067929977,2224.554027015108,183.4459729848918,2408.0,6.792997851334803e-06,1.0,0,0,0.38353511912124333,213.29864843572028,0.9238181175311915,602,556.138506753777,45.86149324622295,1.0,0,0,0.38353511912124333,213.29864843572028,0.9238181175311915,602,556.138506753777,45.86149324622295,1.0,0,0,0.38353511912124333,213.29864843572028,0.9238181175311915,602,556.138506753777,45.86149324622295,1.0,0,0,0.38353511912124333,213.29864843572028,0.9238181175311915,602,556.138506753777,45.86149324622295,1.0,,,0.101,224.67995672852595,2224.554027015108,2224.554027015108,0.0,68.96117483746835,0.0,,,183.44607611659058,0.0,78.88181273013394,,,,24.52831113,0.0,4.0,1435.0048531165912,0.0,-0.0,0.0,145.79649307664567
4,1,5,0.1016,0.0,0.0,1430.0757573515418,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861401396387,2408.000103131699,2408.0000082995316,9.483216729222477e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.2270708323267,0.9999999606183907,802.7043695706197,802.7043379588299,3.161178983646096e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047357,0.9999999606178739,802.6667035751495,802.6666719644282,3.161072129387321e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490116361,0.9999999606173525,802.6290299859296,802.6289983762734,3.16096561618906e-05,,,,854.7808431616763,2408.0000082995316,2227.399517979222,180.60048202077792,2408.0,8.299531600641785e-06,1.0,0,0,0.38375730813534725,213.69521079042732,0.9249997998252942,602,556.8498794948271,45.150120505172936,1.0,0,0,0.38375730813534725,213.69521079042732,0.9249997998252942,602,556.8498794948271,45.150120505172936,1.0,0,0,0.38375730813534725,213.69521079039427,0.9249997998251513,602,556.8498794947409,45.15012050525911,1.0,0,0,0.38375730813534725,213.69521079042732,0.9249997998252942,602,556.8498794948271,45.150120505172936,1.0,,,0.101,224.96735131590142,2227.399517979222,2227.399517979222,0.0,69.04938505735588,0.0,,,180.60058515247684,0.0,77.65825161556504,,,,31.331051139999996,0.0,4.0,1430.0757573515416,0.0,-0.0,0.0,145.29569694691665
5,1,6,0.1016,0.0,0.0,1411.4215080358135,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861401396444,2408.000103131699,2408.000008299535,9.483216388161964e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232687,0.999999960618392,802.7043695706197,802.7043379588309,3.161178881327942e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047376,0.9999999606178753,802.6667035751495,802.6666719644294,3.1610720157004835e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490116381,0.9999999606173541,802.6290299859296,802.6289983762747,3.160965491133538e-05,,,,854.7808431568214,2408.000008299535,2227.399517970565,180.60048202943517,2408.0,8.299534897560079e-06,1.0,0,0,0.3837573081346592,213.69521078920536,0.9249997998216634,602,556.8498794926412,45.15012050735879,1.0,0,0,0.38375730813465925,213.6952107892054,0.9249997998216634,602,556.8498794926412,45.15012050735879,1.0,0,0,0.38375730813465925,213.6952107892054,0.9249997998216634,602,556.8498794926412,45.15012050735879,1.0,0,0,0.38375730813465925,213.6952107892054,0.9249997998216634,602,556.8498794926412,45.15012050735879,1.0,,,0.101,224.96735131502706,2227.399517970565,2227.399517970565,0.0,69.0493850570875,0.0,,,180.60058516113395,0.0,77.6582516192876,,,,49.98530045,0.0,4.0,1411.4215080358128,0.0,-0.0,0.0,143.40042521643866
6,1,7,0.1016,0.0,0.0,1415.5212775561542,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.6586140139644,2408.000103131699,2408.000008299535,9.483216422268015e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232685,0.9999999606183919,802.7043695706197,802.7043379588308,3.1611788926966256e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047374,0.9999999606178752,802.6667035751495,802.6666719644293,3.161072027069167e-05,1.0,0.0,0.0,0.15849415503117228,127.2120049011638,0.9999999606173539,802.6290299859296,802.6289983762746,3.160965502502222e-05,,,,854.7808431571125,2408.000008299535,2227.399517971059,180.60048202894086,2408.0,8.299534670186404e-06,1.0,0,0,0.3837573081347251,213.69521078928946,0.9249997998218685,602,556.8498794927648,45.150120507235215,1.0,0,0,0.3837573081346979,213.6952107892743,0.9249997998218685,602,556.8498794927648,45.150120507235215,1.0,0,0,0.3837573081346979,213.6952107892743,0.9249997998218685,602,556.8498794927648,45.150120507235215,1.0,0,0,0.3837573081346979,213.6952107892743,0.9249997998218685,602,556.8498794927648,45.150120507235215,1.0,,,0.101,224.967351315077,2227.399517971059,2227.399517971059,0.0,69.04938505710284,0.0,,,180.60058516063978,0.0,77.6582516190751,,,,45.88553093,0.0,4.0,1415.5212775561538,0.0,-0.0,0.0,143.81696179970527
7,1,8,0.1016,0.0,0.0,1410.4372620957504,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861401396444,2408.000103131699,2408.000008299535,9.483216388161964e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232687,0.999999960618392,802.7043695706197,802.7043379588309,3.161178881327942e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047376,0.9999999606178753,802.6667035751495,802.6666719644294,3.1610720157004835e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490116381,0.9999999606173541,802.6290299859296,802.6289983762747,3.160965491133538e-05,,,,854.7808431567686,2408.000008299535,2227.3995179704707,180.6004820295293,2408.0,8.299534897560079e-06,1.0,0,0,0.3837573081346517,213.69521078919215,0.9249997998216243,602,556.8498794926177,45.150120507382326,1.0,0,0,0.3837573081346517,213.69521078919215,0.9249997998216243,602,556.8498794926177,45.150120507382326,1.0,0,0,0.3837573081346517,213.69521078919215,0.9249997998216243,602,556.8498794926177,45.150120507382326,1.0,0,0,0.3837573081346517,213.69521078919215,0.9249997998216243,602,556.8498794926177,45.150120507382326,1.0,,,0.101,224.96735131501757,2227.3995179704707,2227.3995179704707,0.0,69.04938505708459,0.0,,,180.60058516122808,0.0,77.65825161932807,,,,50.96954639,0.0,4.0,1410.4372620957506,0.0,-0.0,0.0,143.30042582892824
8,1,9,0.1016,0.0,0.0,1399.3954422652876,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.6586140139643,2408.000103131699,2408.000008299535,9.483216433636699e-05,2408.0001031316992,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232685,0.9999999606183918,802.7043695706197,802.7043379588308,3.1611788926966256e-05,1.0,0.0,0.0,0.15849610146278945,127.21953828047371,0.9999999606178751,802.6667035751497,802.6666719644293,3.161072038437851e-05,1.0,0.0,0.0,0.15849415503117228,127.2120049011638,0.9999999606173539,802.6290299859296,802.6289983762746,3.160965502502222e-05,,,,854.7808431563767,2408.000008299535,2227.39951796977,180.60048203023007,2408.0,8.299534670186404e-06,1.0,0,0,0.3837573081345965,213.69521078909418,0.9249997998213333,602,556.8498794924425,45.15012050755752,1.0,0,0,0.3837573081345965,213.69521078909418,0.9249997998213333,602,556.8498794924425,45.15012050755752,1.0,0,0,0.3837573081345965,213.69521078909418,0.9249997998213333,602,556.8498794924425,45.15012050755752,1.0,0,0,0.3837573081345965,213.69521078909418,0.9249997998213333,602,556.8498794924425,45.15012050755752,1.0,,,0.101,224.96735131494677,2227.39951796977,2227.39951796977,0.0,69.04938505706286,0.0,,,180.60058516192908,0.0,77.6582516196295,,,,62.01136622,0.0,4.0,1399.395442265288,0.0,-0.0,0.0,142.1785769341532
9,1,10,0.1016,0.0,0.0,1408.1825251956254,,,,0,0.0,1,2408.000103131699,2408.000103131699,-0.0,385.28001650107177,79.9456034239724,0.0,,,381.65861401396444,2408.000103131699,2408.000008299535,9.483216388161964e-05,2408.000103131699,0.0,1.0,0.0,0.0,0.15849804818029037,127.22707083232687,0.999999960618392,802.7043695706197,802.7043379588309,3.161178881327942e-05,1.0,0.0,0.0,0.15849610146278947,127.21953828047376,0.9999999606178753,802.6667035751495,802.6666719644294,3.1610720157004835e-05,1.0,0.0,0.0,0.15849415503117228,127.21200490116381,0.9999999606173541,802.6290299859296,802.6289983762747,3.160965491133538e-05,,,,854.7808431566626,2408.000008299535,2227.399517970281,180.60048202971893,2408.0,8.299534897560079e-06,1.0,0,0,0.3837573081346368,213.69521078916566,0.9249997998215455,602,556.8498794925703,45.15012050742973,1.0,0,0,0.3837573081346368,213.69521078916566,0.9249997998215455,602,556.8498794925703,45.15012050742973,1.0,0,0,0.3837573081346368,213.69521078916566,0.9249997998215455,602,556.8498794925703,45.15012050742973,1.0,0,0,0.3837573081346368,213.69521078916566,0.9249997998215455,602,556.8498794925703,45.15012050742973,1.0,,,0.101,224.9673513149984,2227.399517970281,2227.399517970281,0.0,69.04938505707871,0.0,,,180.6005851614177,0.0,77.65825161940961,,,,53.22428329,0.0,4.0,1408.1825251956257,0.0,-0.0,0.0,143.07134455987554
