Annual Production (AF),Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity Cost ($),Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
9000,211634.75342467756,211752.85666216403,15321.227403610317,10659.660916552239,38167.4589041249,11572.101832225144,14480.425078769727,25980.888320162558,992.3107078853046,0.0,1.0005580521893278
10000,235150.71465123666,220636.32893710193,16543.191802010577,10261.509509927339,42645.64319496621,13495.358786172272,16138.643117143829,26804.701311937915,994.0965099990754,0.017964071856287425,0.938276242384967
11000,258664.69865969775,232007.09951177693,18466.267378141125,12556.459568883363,46890.784288344184,14793.162351244473,17748.44339828205,31022.726947024486,992.3107078853046,0.0,0.896941487237917
13000,305900.0,252644.12443322322,20892.39118225671,14860.917390751432,55813.33333333327,18461.333333333336,21064.16666666673,35753.308573008144,995.8887513031602,0.03592814371257485,0.8259042969376372
15000,352724.5890646915,271713.1493104043,25173.361012437894,17117.06469512397,63827.43314790164,19864.653288864087,24178.65463919499,42290.425707561866,992.3107078853046,0.0,0.7703266450204035
