Annual Production (AF),Number of Allowed Shutdowns,Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity Cost ($),Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
16000,10,376239.5616438355,269980.97653673496,24490.516489845508,10012.460345201755,67790.912007918,20405.064514286103,25730.040652601852,34502.97683504726,1409.837429595494,0.0,0.7175773205697877
10000,10,235174.7953464641,213972.63589743193,14616.403286784542,6351.555447933071,42435.79922439439,12921.048416635977,16095.846994802245,20967.958734717613,1427.7916964369165,0.12574850299401197,0.9098451030103089
11000,10,258664.6986301369,223080.1359678051,16558.38287824985,6639.161228969566,46607.91375792782,14032.947813471914,17689.74776230424,23197.544107219415,1433.0057866247566,0.16167664670658682,0.8624297677619552
13000,10,305700.96048582764,241450.3395829923,18893.08079440063,7655.364907877508,55282.30926512594,17119.79314113227,20947.808947574256,26548.44570227814,1446.2091568946407,0.25149700598802394,0.7898252566798396
15000,10,352724.5890674853,260787.35489086143,22262.889820167136,9101.741533444603,63827.43313178287,19864.653242648095,24178.654635937037,31364.631353611738,1409.837429595494,0.0,0.7393512189788564
