Annual Production (AF),Number of Allowed Shutdowns,Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Electricity Cost ($),Total Replacement Cost ($),Degree of Flexibility,Levelized Cost of Water ($/m3)
8000,10,188119.7833,200683.7037,13644.59908,8296.727753,33953.83515,10359.42514,12877.13408,21941.32683,1409.83743,0,1.066786811
11000,10,258664.6989,228171.8305,18324.72572,9759.370044,46660.58204,14174.49369,17700.67644,28084.09577,1422.615412,0.089820359,0.882114302
14000,10,329209.6164,256144.9236,23256.21935,11424.37874,59375.34786,18011.1123,22525.88279,34680.59809,1435.627139,0.179640719,0.778060272
