DateTime,electric_customer_fixed_charge,electric_energy_on_peak,electric_energy_mid_peak,electric_energy_off_peak,electric_energy_super_off_peak,electric_demand_fixed_winter,electric_demand_peak_winter
8/19/2021 0:00,0,0,0,0.11506,0,19.62,0
8/19/2021 1:00,0,0,0,0.11506,0,19.62,0
8/19/2021 2:00,0,0,0,0.11506,0,19.62,0
8/19/2021 3:00,0,0,0,0.11506,0,19.62,0
8/19/2021 4:00,0,0,0,0.11506,0,19.62,0
8/19/2021 5:00,0,0,0,0.11506,0,19.62,0
8/19/2021 6:00,0,0,0,0.11506,0,19.62,0
8/19/2021 7:00,0,0,0,0.11506,0,19.62,0
8/19/2021 8:00,0,0,0,0,0.07074,19.62,0
8/19/2021 9:00,0,0,0,0,0.07074,19.62,0
8/19/2021 10:00,0,0,0,0,0.07074,19.62,0
8/19/2021 11:00,0,0,0,0,0.07074,19.62,0
8/19/2021 12:00,0,0,0,0,0.07074,19.62,0
8/19/2021 13:00,0,0,0,0,0.07074,19.62,0
8/19/2021 14:00,0,0,0,0,0.07074,19.62,0
8/19/2021 15:00,0,0,0,0,0.07074,19.62,0
8/19/2021 16:00,0,0,0,0,0.07074,19.62,0
8/19/2021 17:00,0,0,0.11566,0,0,19.62,10.54
8/19/2021 18:00,0,0,0.11566,0,0,19.62,10.54
8/19/2021 19:00,0,0,0.11566,0,0,19.62,10.54
8/19/2021 20:00,0,0,0.11566,0,0,19.62,10.54
8/19/2021 21:00,0,0,0.11566,0,0,19.62,10.54
8/19/2021 22:00,0,0,0,0.11506,0,19.62,0
8/19/2021 23:00,0,0,0,0.11506,0,19.62,0
8/20/2021 0:00,0,0,0,0.11506,0,19.62,0
8/20/2021 1:00,0,0,0,0.11506,0,19.62,0
8/20/2021 2:00,0,0,0,0.11506,0,19.62,0
8/20/2021 3:00,0,0,0,0.11506,0,19.62,0
8/20/2021 4:00,0,0,0,0.11506,0,19.62,0
8/20/2021 5:00,0,0,0,0.11506,0,19.62,0
8/20/2021 6:00,0,0,0,0.11506,0,19.62,0
8/20/2021 7:00,0,0,0,0.11506,0,19.62,0
8/20/2021 8:00,0,0,0,0,0.07074,19.62,0
8/20/2021 9:00,0,0,0,0,0.07074,19.62,0
8/20/2021 10:00,0,0,0,0,0.07074,19.62,0
8/20/2021 11:00,0,0,0,0,0.07074,19.62,0
8/20/2021 12:00,0,0,0,0,0.07074,19.62,0
8/20/2021 13:00,0,0,0,0,0.07074,19.62,0
8/20/2021 14:00,0,0,0,0,0.07074,19.62,0
8/20/2021 15:00,0,0,0,0,0.07074,19.62,0
8/20/2021 16:00,0,0,0,0,0.07074,19.62,0
8/20/2021 17:00,0,0,0.11566,0,0,19.62,10.54
8/20/2021 18:00,0,0,0.11566,0,0,19.62,10.54
8/20/2021 19:00,0,0,0.11566,0,0,19.62,10.54
8/20/2021 20:00,0,0,0.11566,0,0,19.62,10.54
8/20/2021 21:00,0,0,0.11566,0,0,19.62,10.54
8/20/2021 22:00,0,0,0,0.11506,0,19.62,0
8/20/2021 23:00,0,0,0,0.11506,0,19.62,0
8/21/2021 0:00,0,0,0,0.11506,0,19.62,0
8/21/2021 1:00,0,0,0,0.11506,0,19.62,0
8/21/2021 2:00,0,0,0,0.11506,0,19.62,0
8/21/2021 3:00,0,0,0,0.11506,0,19.62,0
8/21/2021 4:00,0,0,0,0.11506,0,19.62,0
8/21/2021 5:00,0,0,0,0.11506,0,19.62,0
8/21/2021 6:00,0,0,0,0.11506,0,19.62,0
8/21/2021 7:00,0,0,0,0.11506,0,19.62,0
8/21/2021 8:00,0,0,0,0,0.07074,19.62,0
8/21/2021 9:00,0,0,0,0,0.07074,19.62,0
8/21/2021 10:00,0,0,0,0,0.07074,19.62,0
8/21/2021 11:00,0,0,0,0,0.07074,19.62,0
8/21/2021 12:00,0,0,0,0,0.07074,19.62,0
8/21/2021 13:00,0,0,0,0,0.07074,19.62,0
8/21/2021 14:00,0,0,0,0,0.07074,19.62,0
8/21/2021 15:00,0,0,0,0,0.07074,19.62,0
8/21/2021 16:00,0,0,0,0,0.07074,19.62,0
8/21/2021 17:00,0,0,0.11566,0,0,19.62,10.54
8/21/2021 18:00,0,0,0.11566,0,0,19.62,10.54
8/21/2021 19:00,0,0,0.11566,0,0,19.62,10.54
8/21/2021 20:00,0,0,0.11566,0,0,19.62,10.54
8/21/2021 21:00,0,0,0.11566,0,0,19.62,10.54
8/21/2021 22:00,0,0,0,0.11506,0,19.62,0
8/21/2021 23:00,0,0,0,0.11506,0,19.62,0
8/22/2021 0:00,0,0,0,0.11506,0,19.62,0
8/22/2021 1:00,0,0,0,0.11506,0,19.62,0
8/22/2021 2:00,0,0,0,0.11506,0,19.62,0
8/22/2021 3:00,0,0,0,0.11506,0,19.62,0
8/22/2021 4:00,0,0,0,0.11506,0,19.62,0
8/22/2021 5:00,0,0,0,0.11506,0,19.62,0
8/22/2021 6:00,0,0,0,0.11506,0,19.62,0
8/22/2021 7:00,0,0,0,0.11506,0,19.62,0
8/22/2021 8:00,0,0,0,0,0.07074,19.62,0
8/22/2021 9:00,0,0,0,0,0.07074,19.62,0
8/22/2021 10:00,0,0,0,0,0.07074,19.62,0
8/22/2021 11:00,0,0,0,0,0.07074,19.62,0
8/22/2021 12:00,0,0,0,0,0.07074,19.62,0
8/22/2021 13:00,0,0,0,0,0.07074,19.62,0
8/22/2021 14:00,0,0,0,0,0.07074,19.62,0
8/22/2021 15:00,0,0,0,0,0.07074,19.62,0
8/22/2021 16:00,0,0,0,0,0.07074,19.62,0
8/22/2021 17:00,0,0,0.11566,0,0,19.62,10.54
8/22/2021 18:00,0,0,0.11566,0,0,19.62,10.54
8/22/2021 19:00,0,0,0.11566,0,0,19.62,10.54
8/22/2021 20:00,0,0,0.11566,0,0,19.62,10.54
8/22/2021 21:00,0,0,0.11566,0,0,19.62,10.54
8/22/2021 22:00,0,0,0,0.11506,0,19.62,0
8/22/2021 23:00,0,0,0,0.11506,0,19.62,0
8/23/2021 0:00,0,0,0,0.11506,0,19.62,0
8/23/2021 1:00,0,0,0,0.11506,0,19.62,0
8/23/2021 2:00,0,0,0,0.11506,0,19.62,0
8/23/2021 3:00,0,0,0,0.11506,0,19.62,0
8/23/2021 4:00,0,0,0,0.11506,0,19.62,0
8/23/2021 5:00,0,0,0,0.11506,0,19.62,0
8/23/2021 6:00,0,0,0,0.11506,0,19.62,0
8/23/2021 7:00,0,0,0,0.11506,0,19.62,0
8/23/2021 8:00,0,0,0,0,0.07074,19.62,0
8/23/2021 9:00,0,0,0,0,0.07074,19.62,0
8/23/2021 10:00,0,0,0,0,0.07074,19.62,0
8/23/2021 11:00,0,0,0,0,0.07074,19.62,0
8/23/2021 12:00,0,0,0,0,0.07074,19.62,0
8/23/2021 13:00,0,0,0,0,0.07074,19.62,0
8/23/2021 14:00,0,0,0,0,0.07074,19.62,0
8/23/2021 15:00,0,0,0,0,0.07074,19.62,0
8/23/2021 16:00,0,0,0,0,0.07074,19.62,0
8/23/2021 17:00,0,0,0.11566,0,0,19.62,10.54
8/23/2021 18:00,0,0,0.11566,0,0,19.62,10.54
8/23/2021 19:00,0,0,0.11566,0,0,19.62,10.54
8/23/2021 20:00,0,0,0.11566,0,0,19.62,10.54
8/23/2021 21:00,0,0,0.11566,0,0,19.62,10.54
8/23/2021 22:00,0,0,0,0.11506,0,19.62,0
8/23/2021 23:00,0,0,0,0.11506,0,19.62,0
8/24/2021 0:00,0,0,0,0.11506,0,19.62,0
8/24/2021 1:00,0,0,0,0.11506,0,19.62,0
8/24/2021 2:00,0,0,0,0.11506,0,19.62,0
