Annual Production (AF),Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Replacement Cost ($)
12000,282179.67123287683,225576.38099298943,19029.58087799914,11907.217911274636,51594.861290283465,17323.93108749978,124561.93746077963,1158.8523651527732
12500,293937.15754606837,235960.03243896103,21058.303742086737,14223.848994321379,53249.485065244815,16715.01336803587,129721.07056138692,992.3107078853046
13000,305694.6438356164,241922.03732196562,20310.818989351603,11390.07852733135,55756.29319334144,18396.341107789904,134933.46517389893,1135.040330252366
